序号,导演姓名,性别,活跃地区,代表作品,上映年份,作品类型,故事发生时代,故事发生地区,第一主演性别,番位分类,番位判定依据,资料来源/判断依据,来源链接,选择理由
103,韩寒,男,大陆,后会无期,2014,剧情/喜剧/公路,当代,中国西部公路/海边旅途,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%90%8E%E4%BC%9A%E6%97%A0%E6%9C%9F%20%E9%9F%A9%E5%AF%92,https://movie.douban.com/subject_search?search_text=%E5%90%8E%E4%BC%9A%E6%97%A0%E6%9C%9F%20%E9%9F%A9%E5%AF%92,作家转导演公路片代表
104,韩寒,男,大陆,乘风破浪,2017,剧情/喜剧/奇幻,1998年前后与当代框架,浙江小镇/中国南方城镇,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E4%B9%98%E9%A3%8E%E7%A0%B4%E6%B5%AA%20%E9%9F%A9%E5%AF%92,https://movie.douban.com/subject_search?search_text=%E4%B9%98%E9%A3%8E%E7%A0%B4%E6%B5%AA%20%E9%9F%A9%E5%AF%92,怀旧奇幻喜剧代表
105,韩寒,男,大陆,飞驰人生,2019,喜剧/运动,当代,中国赛车圈与拉力赛场,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E9%A3%9E%E9%A9%B0%E4%BA%BA%E7%94%9F%20%E9%9F%A9%E5%AF%92,https://movie.douban.com/subject_search?search_text=%E9%A3%9E%E9%A9%B0%E4%BA%BA%E7%94%9F%20%E9%9F%A9%E5%AF%92,赛车运动喜剧代表
106,周星驰,男,香港,少林足球,2001,喜剧/运动/动作,当代,香港,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%B0%91%E6%9E%97%E8%B6%B3%E7%90%83%20%E5%91%A8%E6%98%9F%E9%A9%B0,https://movie.douban.com/subject_search?search_text=%E5%B0%91%E6%9E%97%E8%B6%B3%E7%90%83%20%E5%91%A8%E6%98%9F%E9%A9%B0,港式喜剧商业片代表
107,周星驰,男,香港,功夫,2004,喜剧/动作/奇幻,20世纪40年代/民国上海寓言,上海猪笼城寨,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%8A%9F%E5%A4%AB%20%E5%91%A8%E6%98%9F%E9%A9%B0,https://movie.douban.com/subject_search?search_text=%E5%8A%9F%E5%A4%AB%20%E5%91%A8%E6%98%9F%E9%A9%B0,港式动作喜剧代表
108,周星驰,男,香港,长江七号,2008,喜剧/科幻/家庭,当代,香港/普通家庭与外星儿童空间,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E9%95%BF%E6%B1%9F%E4%B8%83%E5%8F%B7%20%E5%91%A8%E6%98%9F%E9%A9%B0,https://movie.douban.com/subject_search?search_text=%E9%95%BF%E6%B1%9F%E4%B8%83%E5%8F%B7%20%E5%91%A8%E6%98%9F%E9%A9%B0,家庭科幻喜剧代表
109,周星驰,男,香港,西游降魔篇,2013,喜剧/奇幻/冒险,唐代神话/西游世界,长安、西域与妖魔空间,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E8%A5%BF%E6%B8%B8%E9%99%8D%E9%AD%94%E7%AF%87%20%E5%91%A8%E6%98%9F%E9%A9%B0,https://movie.douban.com/subject_search?search_text=%E8%A5%BF%E6%B8%B8%E9%99%8D%E9%AD%94%E7%AF%87%20%E5%91%A8%E6%98%9F%E9%A9%B0,神话喜剧商业片代表
110,周星驰,男,香港,美人鱼,2016,喜剧/爱情/奇幻,当代/奇幻环保寓言,中国南方海滨城市与海洋,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%BE%8E%E4%BA%BA%E9%B1%BC%20%E5%91%A8%E6%98%9F%E9%A9%B0,https://movie.douban.com/subject_search?search_text=%E7%BE%8E%E4%BA%BA%E9%B1%BC%20%E5%91%A8%E6%98%9F%E9%A9%B0,高票房环保喜剧代表
111,周星驰,男,香港,新喜剧之王,2019,剧情/喜剧,当代,中国城市/影视表演行业空间,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%96%B0%E5%96%9C%E5%89%A7%E4%B9%8B%E7%8E%8B%20%E5%91%A8%E6%98%9F%E9%A9%B0,https://movie.douban.com/subject_search?search_text=%E6%96%B0%E5%96%9C%E5%89%A7%E4%B9%8B%E7%8E%8B%20%E5%91%A8%E6%98%9F%E9%A9%B0,自我致敬喜剧代表
112,王家卫,男,香港,花样年华,2000,剧情/爱情,1962年,香港,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、维基/1905等资料、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E8%8A%B1%E6%A0%B7%E5%B9%B4%E5%8D%8E%20%E7%8E%8B%E5%AE%B6%E5%8D%AB,https://movie.douban.com/subject_search?search_text=%E8%8A%B1%E6%A0%B7%E5%B9%B4%E5%8D%8E%20%E7%8E%8B%E5%AE%B6%E5%8D%AB,华语电影美学经典代表
113,王家卫,男,香港,2046,2004,剧情/爱情/科幻,1960年代至未来寓言,香港、新加坡、2046列车/房间,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=2046%20%E7%8E%8B%E5%AE%B6%E5%8D%AB,https://movie.douban.com/subject_search?search_text=2046%20%E7%8E%8B%E5%AE%B6%E5%8D%AB,作者电影与都市记忆代表
114,王家卫,男,香港,蓝莓之夜,2007,剧情/爱情,当代,美国公路、纽约等,女性,第一番位为女性,公开主演表/剧情简介补判为女性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E8%93%9D%E8%8E%93%E4%B9%8B%E5%A4%9C%20%E7%8E%8B%E5%AE%B6%E5%8D%AB,https://movie.douban.com/subject_search?search_text=%E8%93%9D%E8%8E%93%E4%B9%8B%E5%A4%9C%20%E7%8E%8B%E5%AE%B6%E5%8D%AB,跨语际作者片代表
115,王家卫,男,香港,一代宗师,2013,剧情/动作/传记,20世纪30-50年代,广东佛山、香港、东北等,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E4%B8%80%E4%BB%A3%E5%AE%97%E5%B8%88%20%E7%8E%8B%E5%AE%B6%E5%8D%AB,https://movie.douban.com/subject_search?search_text=%E4%B8%80%E4%BB%A3%E5%AE%97%E5%B8%88%20%E7%8E%8B%E5%AE%B6%E5%8D%AB,武术传记与作者美学代表
116,杜琪峰,男,香港,PTU,2003,剧情/犯罪,当代,香港,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=PTU%20%E6%9D%9C%E7%90%AA%E5%B3%B0,https://movie.douban.com/subject_search?search_text=PTU%20%E6%9D%9C%E7%90%AA%E5%B3%B0,银河映像警匪片代表
117,杜琪峰,男,香港,大事件,2004,动作/犯罪/剧情,当代,香港,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%A4%A7%E4%BA%8B%E4%BB%B6%20%E6%9D%9C%E7%90%AA%E5%B3%B0,https://movie.douban.com/subject_search?search_text=%E5%A4%A7%E4%BA%8B%E4%BB%B6%20%E6%9D%9C%E7%90%AA%E5%B3%B0,媒体时代警匪片代表
118,杜琪峰,男,香港,黑社会,2005,剧情/犯罪,当代,香港,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E9%BB%91%E7%A4%BE%E4%BC%9A%20%E6%9D%9C%E7%90%AA%E5%B3%B0,https://movie.douban.com/subject_search?search_text=%E9%BB%91%E7%A4%BE%E4%BC%9A%20%E6%9D%9C%E7%90%AA%E5%B3%B0,香港黑帮片代表
119,杜琪峰,男,香港,黑社会2：以和为贵,2006,剧情/犯罪,当代,香港、广东政治经济空间,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E9%BB%91%E7%A4%BE%E4%BC%9A2%EF%BC%9A%E4%BB%A5%E5%92%8C%E4%B8%BA%E8%B4%B5%20%E6%9D%9C%E7%90%AA%E5%B3%B0,https://movie.douban.com/subject_search?search_text=%E9%BB%91%E7%A4%BE%E4%BC%9A2%EF%BC%9A%E4%BB%A5%E5%92%8C%E4%B8%BA%E8%B4%B5%20%E6%9D%9C%E7%90%AA%E5%B3%B0,黑帮政治寓言代表
120,杜琪峰,男,香港,放逐,2006,动作/犯罪/惊悚,1998年前后,澳门,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%94%BE%E9%80%90%20%E6%9D%9C%E7%90%AA%E5%B3%B0,https://movie.douban.com/subject_search?search_text=%E6%94%BE%E9%80%90%20%E6%9D%9C%E7%90%AA%E5%B3%B0,澳门枪战片代表
121,杜琪峰,男,香港,神探,2007,动作/悬疑/犯罪,当代,香港,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%A5%9E%E6%8E%A2%20%E6%9D%9C%E7%90%AA%E5%B3%B0,https://movie.douban.com/subject_search?search_text=%E7%A5%9E%E6%8E%A2%20%E6%9D%9C%E7%90%AA%E5%B3%B0,心理犯罪类型片代表
122,杜琪峰,男,香港,夺命金,2011,剧情/犯罪,2008金融危机时期,香港,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%A4%BA%E5%91%BD%E9%87%91%20%E6%9D%9C%E7%90%AA%E5%B3%B0,https://movie.douban.com/subject_search?search_text=%E5%A4%BA%E5%91%BD%E9%87%91%20%E6%9D%9C%E7%90%AA%E5%B3%B0,金融危机犯罪片代表
123,杜琪峰,男,香港,毒战,2012,动作/犯罪,当代,天津/中国内地缉毒空间,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%AF%92%E6%88%98%20%E6%9D%9C%E7%90%AA%E5%B3%B0,https://movie.douban.com/subject_search?search_text=%E6%AF%92%E6%88%98%20%E6%9D%9C%E7%90%AA%E5%B3%B0,内地合拍警匪片代表
124,杜琪峰,男,香港,三人行,2016,动作/犯罪/剧情,当代,香港医院,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E4%B8%89%E4%BA%BA%E8%A1%8C%20%E6%9D%9C%E7%90%AA%E5%B3%B0,https://movie.douban.com/subject_search?search_text=%E4%B8%89%E4%BA%BA%E8%A1%8C%20%E6%9D%9C%E7%90%AA%E5%B3%B0,封闭空间警匪片代表
125,徐克,男,香港,顺流逆流,2000,动作/犯罪,当代,香港、南美等跨境空间,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E9%A1%BA%E6%B5%81%E9%80%86%E6%B5%81%20%E5%BE%90%E5%85%8B,https://movie.douban.com/subject_search?search_text=%E9%A1%BA%E6%B5%81%E9%80%86%E6%B5%81%20%E5%BE%90%E5%85%8B,新世纪港式动作代表
126,徐克,男,香港,七剑,2005,动作/武侠/古装,明末清初,新疆天山与西北边地,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E4%B8%83%E5%89%91%20%E5%BE%90%E5%85%8B,https://movie.douban.com/subject_search?search_text=%E4%B8%83%E5%89%91%20%E5%BE%90%E5%85%8B,新武侠大片代表
127,徐克,男,香港,狄仁杰之通天帝国,2010,动作/悬疑/古装,唐代武周时期,洛阳,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%8B%84%E4%BB%81%E6%9D%B0%E4%B9%8B%E9%80%9A%E5%A4%A9%E5%B8%9D%E5%9B%BD%20%E5%BE%90%E5%85%8B,https://movie.douban.com/subject_search?search_text=%E7%8B%84%E4%BB%81%E6%9D%B0%E4%B9%8B%E9%80%9A%E5%A4%A9%E5%B8%9D%E5%9B%BD%20%E5%BE%90%E5%85%8B,古装悬疑大片代表
128,徐克,男,香港,龙门飞甲,2011,动作/武侠/古装,明代/古代武侠世界,龙门客栈、西北大漠,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E9%BE%99%E9%97%A8%E9%A3%9E%E7%94%B2%20%E5%BE%90%E5%85%8B,https://movie.douban.com/subject_search?search_text=%E9%BE%99%E9%97%A8%E9%A3%9E%E7%94%B2%20%E5%BE%90%E5%85%8B,3D武侠商业片代表
129,徐克,男,香港,智取威虎山,2014,战争/动作/冒险,1946年前后/解放战争初期,东北林海雪原,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%99%BA%E5%8F%96%E5%A8%81%E8%99%8E%E5%B1%B1%20%E5%BE%90%E5%85%8B,https://movie.douban.com/subject_search?search_text=%E6%99%BA%E5%8F%96%E5%A8%81%E8%99%8E%E5%B1%B1%20%E5%BE%90%E5%85%8B,红色经典类型化改编代表
130,徐克,男,香港,西游伏妖篇,2017,喜剧/奇幻/动作,唐代神话/西游世界,长安与妖魔空间,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E8%A5%BF%E6%B8%B8%E4%BC%8F%E5%A6%96%E7%AF%87%20%E5%BE%90%E5%85%8B,https://movie.douban.com/subject_search?search_text=%E8%A5%BF%E6%B8%B8%E4%BC%8F%E5%A6%96%E7%AF%87%20%E5%BE%90%E5%85%8B,神话IP商业片代表
131,徐克,男,香港,长津湖之水门桥,2022,战争/历史,1950年冬/抗美援朝时期,朝鲜水门桥,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E9%95%BF%E6%B4%A5%E6%B9%96%E4%B9%8B%E6%B0%B4%E9%97%A8%E6%A1%A5%20%E5%BE%90%E5%85%8B,https://movie.douban.com/subject_search?search_text=%E9%95%BF%E6%B4%A5%E6%B9%96%E4%B9%8B%E6%B0%B4%E9%97%A8%E6%A1%A5%20%E5%BE%90%E5%85%8B,战争大片续作代表
132,陈可辛,男,香港/大陆,如果·爱,2005,爱情/歌舞/剧情,当代,上海、北京等演艺都市空间,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%A6%82%E6%9E%9C%C2%B7%E7%88%B1%20%E9%99%88%E5%8F%AF%E8%BE%9B,https://movie.douban.com/subject_search?search_text=%E5%A6%82%E6%9E%9C%C2%B7%E7%88%B1%20%E9%99%88%E5%8F%AF%E8%BE%9B,华语歌舞片代表
133,陈可辛,男,香港/大陆,投名状,2007,战争/动作/历史,清末/太平天国后,江南战场与晚清军营,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%8A%95%E5%90%8D%E7%8A%B6%20%E9%99%88%E5%8F%AF%E8%BE%9B,https://movie.douban.com/subject_search?search_text=%E6%8A%95%E5%90%8D%E7%8A%B6%20%E9%99%88%E5%8F%AF%E8%BE%9B,古装战争大片代表
134,陈可辛,男,香港/大陆,武侠,2011,动作/悬疑/武侠,民国初年/武侠世界,岭南村镇/刘家村,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%AD%A6%E4%BE%A0%20%E9%99%88%E5%8F%AF%E8%BE%9B,https://movie.douban.com/subject_search?search_text=%E6%AD%A6%E4%BE%A0%20%E9%99%88%E5%8F%AF%E8%BE%9B,类型混合武侠代表
135,陈可辛,男,香港/大陆,中国合伙人,2013,剧情/传记,1980s-2000s,北京、美国,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E4%B8%AD%E5%9B%BD%E5%90%88%E4%BC%99%E4%BA%BA%20%E9%99%88%E5%8F%AF%E8%BE%9B,https://movie.douban.com/subject_search?search_text=%E4%B8%AD%E5%9B%BD%E5%90%88%E4%BC%99%E4%BA%BA%20%E9%99%88%E5%8F%AF%E8%BE%9B,创业年代片代表
136,陈可辛,男,香港/大陆,夺冠,2020,剧情/运动/传记,1980s-2016前后,中国女排训练与比赛地,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%A4%BA%E5%86%A0%20%E9%99%88%E5%8F%AF%E8%BE%9B,https://movie.douban.com/subject_search?search_text=%E5%A4%BA%E5%86%A0%20%E9%99%88%E5%8F%AF%E8%BE%9B,体育传记片代表
137,叶伟信,男,香港,杀破狼,2005,动作/犯罪/剧情,当代,香港、澳门,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%9D%80%E7%A0%B4%E7%8B%BC%20%E5%8F%B6%E4%BC%9F%E4%BF%A1,https://movie.douban.com/subject_search?search_text=%E6%9D%80%E7%A0%B4%E7%8B%BC%20%E5%8F%B6%E4%BC%9F%E4%BF%A1,硬派港式动作代表
138,叶伟信,男,香港,导火线,2007,动作/犯罪,当代,香港、澳门,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%AF%BC%E7%81%AB%E7%BA%BF%20%E5%8F%B6%E4%BC%9F%E4%BF%A1,https://movie.douban.com/subject_search?search_text=%E5%AF%BC%E7%81%AB%E7%BA%BF%20%E5%8F%B6%E4%BC%9F%E4%BF%A1,现代搏击动作代表
139,叶伟信,男,香港,叶问,2008,动作/传记/历史,20世纪30年代,广东佛山,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%8F%B6%E9%97%AE%20%E5%8F%B6%E4%BC%9F%E4%BF%A1,https://movie.douban.com/subject_search?search_text=%E5%8F%B6%E9%97%AE%20%E5%8F%B6%E4%BC%9F%E4%BF%A1,功夫传记系列代表
140,叶伟信,男,香港,叶问2,2010,动作/传记/历史,20世纪50年代,香港,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%8F%B6%E9%97%AE2%20%E5%8F%B6%E4%BC%9F%E4%BF%A1,https://movie.douban.com/subject_search?search_text=%E5%8F%B6%E9%97%AE2%20%E5%8F%B6%E4%BC%9F%E4%BF%A1,功夫系列商业片代表
141,叶伟信,男,香港,叶问3,2015,动作/传记/历史,1959年前后,香港,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%8F%B6%E9%97%AE3%20%E5%8F%B6%E4%BC%9F%E4%BF%A1,https://movie.douban.com/subject_search?search_text=%E5%8F%B6%E9%97%AE3%20%E5%8F%B6%E4%BC%9F%E4%BF%A1,功夫系列商业片代表
142,叶伟信,男,香港,杀破狼·贪狼,2017,动作/犯罪/剧情,当代,泰国,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%9D%80%E7%A0%B4%E7%8B%BC%C2%B7%E8%B4%AA%E7%8B%BC%20%E5%8F%B6%E4%BC%9F%E4%BF%A1,https://movie.douban.com/subject_search?search_text=%E6%9D%80%E7%A0%B4%E7%8B%BC%C2%B7%E8%B4%AA%E7%8B%BC%20%E5%8F%B6%E4%BC%9F%E4%BF%A1,港式动作跨地域代表
143,叶伟信,男,香港,叶问4：完结篇,2019,动作/传记/历史,20世纪60年代,美国旧金山,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%8F%B6%E9%97%AE4%EF%BC%9A%E5%AE%8C%E7%BB%93%E7%AF%87%20%E5%8F%B6%E4%BC%9F%E4%BF%A1,https://movie.douban.com/subject_search?search_text=%E5%8F%B6%E9%97%AE4%EF%BC%9A%E5%AE%8C%E7%BB%93%E7%AF%87%20%E5%8F%B6%E4%BC%9F%E4%BF%A1,功夫系列收官代表
144,林超贤,男,香港/大陆,证人,2008,动作/惊悚,当代,香港,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E8%AF%81%E4%BA%BA%20%E6%9E%97%E8%B6%85%E8%B4%A4,https://movie.douban.com/subject_search?search_text=%E8%AF%81%E4%BA%BA%20%E6%9E%97%E8%B6%85%E8%B4%A4,港式动作犯罪代表
145,林超贤,男,香港/大陆,线人,2010,动作/犯罪/惊悚,当代,香港,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%BA%BF%E4%BA%BA%20%E6%9E%97%E8%B6%85%E8%B4%A4,https://movie.douban.com/subject_search?search_text=%E7%BA%BF%E4%BA%BA%20%E6%9E%97%E8%B6%85%E8%B4%A4,卧底犯罪片代表
146,林超贤,男,香港/大陆,湄公河行动,2016,动作/犯罪,2011年前后,湄公河金三角、云南边境,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%B9%84%E5%85%AC%E6%B2%B3%E8%A1%8C%E5%8A%A8%20%E6%9E%97%E8%B6%85%E8%B4%A4,https://movie.douban.com/subject_search?search_text=%E6%B9%84%E5%85%AC%E6%B2%B3%E8%A1%8C%E5%8A%A8%20%E6%9E%97%E8%B6%85%E8%B4%A4,新主流动作大片代表
147,林超贤,男,香港/大陆,红海行动,2018,动作/战争,当代/撤侨行动背景,中东/非洲虚构战乱国,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%BA%A2%E6%B5%B7%E8%A1%8C%E5%8A%A8%20%E6%9E%97%E8%B6%85%E8%B4%A4,https://movie.douban.com/subject_search?search_text=%E7%BA%A2%E6%B5%B7%E8%A1%8C%E5%8A%A8%20%E6%9E%97%E8%B6%85%E8%B4%A4,军事动作大片代表
148,林超贤,男,香港/大陆,紧急救援,2020,动作/灾难,当代,中国海上救援与沿海城市,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%B4%A7%E6%80%A5%E6%95%91%E6%8F%B4%20%E6%9E%97%E8%B6%85%E8%B4%A4,https://movie.douban.com/subject_search?search_text=%E7%B4%A7%E6%80%A5%E6%95%91%E6%8F%B4%20%E6%9E%97%E8%B6%85%E8%B4%A4,救援灾难商业片代表
149,林超贤,男,香港/大陆,长津湖,2021,战争/历史/剧情,1950年/抗美援朝时期,朝鲜长津湖地区,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E9%95%BF%E6%B4%A5%E6%B9%96%20%E6%9E%97%E8%B6%85%E8%B4%A4,https://movie.douban.com/subject_search?search_text=%E9%95%BF%E6%B4%A5%E6%B9%96%20%E6%9E%97%E8%B6%85%E8%B4%A4,共同导演战争大片代表
150,刘伟强,男,香港/大陆,无间道,2002,剧情/犯罪/惊悚,当代,香港,不适用,双主角/群像,剧情简介显示为双主角、多线叙事、系列群像或拼盘结构,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E6%97%A0%E9%97%B4%E9%81%93%20%E5%88%98%E4%BC%9F%E5%BC%BA,https://movie.douban.com/subject_search?search_text=%E6%97%A0%E9%97%B4%E9%81%93%20%E5%88%98%E4%BC%9F%E5%BC%BA,港片警匪经典代表
151,刘伟强,男,香港/大陆,头文字D,2005,动作/剧情,当代,日本群马、香港,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E5%A4%B4%E6%96%87%E5%AD%97D%20%E5%88%98%E4%BC%9F%E5%BC%BA,https://movie.douban.com/subject_search?search_text=%E5%A4%B4%E6%96%87%E5%AD%97D%20%E5%88%98%E4%BC%9F%E5%BC%BA,漫画改编赛车片代表
152,刘伟强,男,香港/大陆,精武风云·陈真,2010,动作/历史,20世纪20年代,上海,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E7%B2%BE%E6%AD%A6%E9%A3%8E%E4%BA%91%C2%B7%E9%99%88%E7%9C%9F%20%E5%88%98%E4%BC%9F%E5%BC%BA,https://movie.douban.com/subject_search?search_text=%E7%B2%BE%E6%AD%A6%E9%A3%8E%E4%BA%91%C2%B7%E9%99%88%E7%9C%9F%20%E5%88%98%E4%BC%9F%E5%BC%BA,功夫历史商业片代表
153,刘伟强,男,香港/大陆,中国机长,2019,剧情/灾难/传记,当代,四川航空航班与重庆/成都航空空间,男性,第一番位为男性,公开主演表/剧情简介补判为男性第一主角,公开剧情简介、原表来源链接；原表来源：https://movie.douban.com/subject_search?search_text=%E4%B8%AD%E5%9B%BD%E6%9C%BA%E9%95%BF%20%E5%88%98%E4%BC%9F%E5%BC%BA,https://movie.douban.com/subject_search?search_text=%E4%B8%AD%E5%9B%BD%E6%9C%BA%E9%95%BF%20%E5%88%98%E4%BC%9F%E5%BC%BA,新主流灾难片代表
